[2025-01-31T08:51:17.316+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T08:51:17.340+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_and_upload> on 2025-01-31 08:49:46.476555+00:00
[2025-01-31T08:51:17.352+0000] {standard_task_runner.py:57} INFO - Started process 1750 to run task
[2025-01-31T08:51:21.749+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.749+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.750+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.751+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
